Chicago Fire,Colorado Rapids,Columbus Crew,DC United,FC Dallas,Houston Dynamo,Los Angeles Galaxy,Montreal Impact,New England Revolution,New York City,New York Red Bulls,Orlando City,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders,Sporting Kansas City,Toronto FC,Vancouver Whitecaps
0,0,0,0,3,1,3,3,1,3,0,1,0,3,1,3,0,3,3,0
1,3,0,1,0,3,0,3,1,1,0,1,3,0,3,3,0,3,1,0
1,1,1,1,3,0,3,0,0,0,3,3,3,1,1,0,0,3,0,3
3,3,1,0,3,0,1,0,1,1,0,3,0,0,3,1,3,0,0,3
1,0,0,1,1,1,1,3,3,1,0,0,3,1,3,1,1,3,1,1
0,3,3,3,1,0,3,3,1,0,0,1,0,0,3,3,3,0,3,0
1,3,3,0,3,0,3,0,1,0,0,0,3,3,0,0,0,0,3,0
0,3,0,3,3,0,1,1,0,1,3,1,1,1,3,3,3,0,0,3
0,1,1,1,0,3,3,1,1,3,3,1,1,3,0,1,3,1,3,1
0,3,1,0,0,0,1,1,1,3,1,0,1,0,0,0,0,1,0,0
3,3,1,3,0,3,1,1,0,3,0,3,3,0,3,3,0,0,1,3
1,1,3,0,3,0,0,0,3,1,3,1,1,0,0,1,0,0,1,3
0,3,0,3,3,1,1,3,0,0,3,1,1,3,3,1,3,3,0,3
0,1,1,0,3,1,0,1,3,1,3,1,3,1,1,0,0,0,3,0
3,3,1,1,1,1,1,1,3,0,3,3,0,3,3,1,0,0,0,1
0,1,0,3,1,0,1,3,0,3,0,0,3,1,0,1,1,1,1,0
3,1,0,1,0,3,3,1,0,3,1,1,0,3,1,0,0,3,3,3
0,1,1,0,3,1,3,1,0,3,0,0,0,1,1,0,3,1,1,0
0,3,1,1,3,0,3,0,3,3,1,1,3,1,0,3,0,3,0,1
1,1,1,0,3,1,3,3,1,0,3,1,1,1,1,1,0,3,3,3
0,0,0,1,0,1,1,1,3,3,1,3,0,3,1,1,1,0,3,1
1,3,1,1,3,0,1,3,0,0,3,0,0,0,3,1,3,0,3,1
3,1,3,3,1,1,1,0,0,3,1,1,1,0,0,3,3,3,3,0
1,1,0,1,3,3,0,0,0,1,1,1,3,3,3,0,3,3,1,0
0,0,3,1,1,1,1,1,0,1,3,0,0,0,0,1,1,0,3,0
3,0,0,3,0,0,1,3,1,3,1,3,3,0,3,0,0,1,3,0
0,3,0,0,3,1,3,0,0,0,3,3,3,3,3,1,1,3,0,1
1,1,3,1,3,3,1,1,3,3,3,0,0,0,1,1,3,0,3,0
0,1,3,1,0,3,3,0,3,0,1,0,1,3,0,0,3,1,1,3
0,3,0,3,1,0,1,0,3,1,1,0,0,3,0,0,3,1,1,0
0,3,3,3,1,0,0,3,0,3,3,1,1,0,1,3,3,3,1,1
1,3,1,3,3,1,0,3,3,3,3,0,0,0,0,0,1,0,0,0
3,0,0,3,3,0,3,1,0,0,3,3,0,3,1,1,0,1,1,1
0,1,0,0,1,1,1,0,3,3,3,3,0,0,0,0,3,3,3,3
