Week,Chicago Fire,Colorado Rapids,Columbus Crew,DC United,FC Dallas,Houston Dynamo,Los Angeles Galaxy,Montreal Impact,New England Revolution,New York City,New York Red Bulls,Orlando City,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders,Sporting Kansas City,Toronto FC,Vancouver Whitecaps
1,0,0,0,0,3,1,3,3,1,3,0,1,0,3,1,3,0,3,3,0
2,1,3,0,1,0,3,0,3,1,1,0,1,3,0,3,3,0,3,1,0
3,1,1,1,1,3,0,3,0,0,0,3,3,3,1,1,0,0,3,0,3
4,3,3,1,0,3,0,1,0,1,1,0,3,0,0,3,1,3,0,0,3
5,1,0,0,1,1,1,1,3,3,1,0,0,3,1,3,1,1,3,1,1
6,0,3,3,3,1,0,3,3,1,0,0,1,0,0,3,3,3,0,3,0
7,1,3,3,0,3,0,3,0,1,0,0,0,3,3,0,0,0,0,3,0
8,0,3,0,3,3,0,1,1,0,1,3,1,1,1,3,3,3,0,0,3
9,0,1,1,1,0,3,3,1,1,3,3,1,1,3,0,1,3,1,3,1
10,0,3,1,0,0,0,1,1,1,3,1,0,1,0,0,0,0,1,0,0
11,3,3,1,3,0,3,1,1,0,3,0,3,3,0,3,3,0,0,1,3
12,1,1,3,0,3,0,0,0,3,1,3,1,1,0,0,1,0,0,1,3
13,0,3,0,3,3,1,1,3,0,0,3,1,1,3,3,1,3,3,0,3
14,0,1,1,0,3,1,0,1,3,1,3,1,3,1,1,0,0,0,3,0
15,3,3,1,1,1,1,1,1,3,0,3,3,0,3,3,1,0,0,0,1
16,0,1,0,3,1,0,1,3,0,3,0,0,3,1,0,1,1,1,1,0
17,3,1,0,1,0,3,3,1,0,3,1,1,0,3,1,0,0,3,3,3
18,0,1,1,0,3,1,3,1,0,3,0,0,0,1,1,0,3,1,1,0
19,0,3,1,1,3,0,3,0,3,3,1,1,3,1,0,3,0,3,0,1
20,1,1,1,0,3,1,3,3,1,0,3,1,1,1,1,1,0,3,3,3
21,0,0,0,1,0,1,1,1,3,3,1,3,0,3,1,1,1,0,3,1
22,1,3,1,1,3,0,1,3,0,0,3,0,0,0,3,1,3,0,3,1
23,3,1,3,3,1,1,1,0,0,3,1,1,1,0,0,3,3,3,3,0
24,1,1,0,1,3,3,0,0,0,1,1,1,3,3,3,0,3,3,1,0
25,0,0,3,1,1,1,1,1,0,1,3,0,0,0,0,1,1,0,3,0
26,3,0,0,3,0,0,1,3,1,3,1,3,3,0,3,0,0,1,3,0
27,0,3,0,0,3,1,3,0,0,0,3,3,3,3,3,1,1,3,0,1
28,1,1,3,1,3,3,1,1,3,3,3,0,0,0,1,1,3,0,3,0
29,0,1,3,1,0,3,3,0,3,0,1,0,1,3,0,0,3,1,1,3
30,0,3,0,3,1,0,1,0,3,1,1,0,0,3,0,0,3,1,1,0
31,0,3,3,3,1,0,0,3,0,3,3,1,1,0,1,3,3,3,1,1
32,1,3,1,3,3,1,0,3,3,3,3,0,0,0,0,0,1,0,0,0
33,3,0,0,3,3,0,3,1,0,0,3,3,0,3,1,1,0,1,1,1
34,0,1,0,0,1,1,1,0,3,3,3,3,0,0,0,0,3,3,3,3
